tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM,FRF3	465 	465 	462 	462 	462 	462 	462 	462 	462 	462 	462 	462 
MWAY,KM,FRG0	719 	746 	745 	746 	748 	748 	748 	747 	747 	747 	747 	747 
MWAY,KM,FRH0	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 	50 
MWAY,KM,FRI1	628 	628 	635 	785 	785 	785 	875 	785 	876 	887 	886 	885 
MWAY,KM,FRI2	263 	263 	274 	274 	274 	274 	274 	274 	279 	279 	279 	279 
MWAY,KM,FRI3	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 	300 
MWAY,KM,FRJ1	531 	536 	546 	561 	563 	563 	563 	568 	568 	568 	568 	589 
MWAY,KM,FRJ2	654 	652 	652 	653 	652 	652 	652 	653 	653 	653 	652 	653 
MWAY,KM,FRK1	370 	380 	380 	380 	380 	380 	380 	380 	393 	393 	393 	393 
MWAY,KM,FRK2	1211 	1211 	1211 	1230 	1245 	1244 	1294 	1294 	1300 	1300 	1300 	1305 
MWAY,KM,FRL0	753 	754 	754 	754 	750 	750 	750 	754 	754 	759 	759 	762 
MWAY,KM,FRM0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,FRY1	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
MWAY,KM,FRY2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,FRY3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,FRY4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,FRY5	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
MWAY,KM,HR03	562 	603 	604 	604 	613 	613 	648 	650 	650 	650 	650 	650 
MWAY,KM,HR04	594 	596 	640 	640 	640 	640 	640 	640 	660 	660 	660 	660 
MWAY,KM,HU11	: 	: 	: 	: 	: 	: 	: 	62 	61 	61 	61 	61 
MWAY,KM,HU12	: 	: 	: 	: 	: 	: 	: 	239 	240 	241 	241 	243 
MWAY,KM,HU21	242 	254 	254 	267 	265 	265 	261 	261 	261 	261 	261 	261 
MWAY,KM,HU22	136 	167 	166 	165 	168 	168 	168 	168 	183 	188 	189 	189 
MWAY,KM,HU23	103 	125 	125 	297 	299 	299 	303 	303 	305 	305 	305 	305 
MWAY,KM,HU31	174 	174 	173 	173 	173 	173 	173 	174 	174 	174 	174 	176 
MWAY,KM,HU32	132 	132 	132 	132 	132 	132 	175 	190 	190 	190 	197 	226 
MWAY,KM,HU33	142 	143 	143 	145 	181 	181 	181 	181 	208 	208 	208 	209 
MWAY,KM,IE04	: 	: 	: 	: 	: 	: 	: 	83 	83 	83 	83 	83 
MWAY,KM,IE05	: 	: 	: 	: 	: 	: 	: 	471 	491 	491 	491 	491 
MWAY,KM,IE06	: 	: 	: 	: 	: 	: 	: 	344 	343 	343 	343 	343 
MWAY,KM,ITC1	817 	817 	817 	821 	821 	821 	821 	821 	829 	830 	830 	825 
MWAY,KM,ITC2	114 	114 	114 	114 	114 	114 	114 	114 	114 	114 	114 	110 
MWAY,KM,ITC3	375 	375 	375 	375 	375 	375 	375 	375 	375 	375 	375 	370 
MWAY,KM,ITC4	576 	587 	587 	589 	589 	604 	621 	679 	706 	708 	708 	703 
MWAY,KM,ITF1	352 	352 	352 	352 	352 	352 	352 	352 	355 	355 	355 	355 
MWAY,KM,ITF2	36 	36 	36 	36 	36 	36 	36 	36 	36 	36 	36 	36 
MWAY,KM,ITF3	442 	442 	442 	442 	442 	442 	442 	442 	443 	444 	444 	444 
MWAY,KM,ITF4	313 	313 	313 	313 	313 	313 	313 	313 	313 	313 	313 	313 
MWAY,KM,ITF5	29 	29 	29 	29 	29 	29 	29 	29 	29 	30 	30 	30 
